#,Thermostat,identifier,511893837731,,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,,
#,Start,date,2018-11-12,,,,,,,,,,,,,,,,,,
#,End,date,2018-12-12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2,
2018-11-12,07:10:00,heat,heatOff,,Sleep,72,68,68.8,44,28.5,0,0,0,0,,66.8,44,0,70.3,0,
2018-11-12,07:15:00,heat,heatOff,,Sleep,72,68,68.4,44,28.5,0,0,0,0,,67.2,44,0,69.6,0,
2018-11-12,07:20:00,heat,heatOff,,Sleep,72,68,68.1,44,28.5,0,0,0,0,,67.5,44,0,68.9,0,
2018-11-12,07:25:00,heat,heatOff,,Sleep,73.4,68,68.1,43,28.5,0,0,0,0,,67.6,43,1,68.5,1,
2018-11-12,07:30:00,heat,heatOff,,Home,74,68,67.9,43,29.3,0,0,0,0,,67.8,43,1,68.2,1,
2018-11-12,07:35:00,heat,heatOff,,Home,74,68,67.9,43,29.3,0,0,0,0,,67.9,43,0,67.9,0,
2018-11-12,07:40:00,heat,heatOff,,Home,74,68,67.8,43,29.3,0,0,0,0,,68,43,1,67.7,0,
2018-11-12,07:45:00,heat,heatOff,,Home,74,68,67.7,43,29.3,0,0,0,0,,68.1,43,0,67.5,0,
2018-11-12,07:50:00,heat,heatOff,,Home,74,68,67.7,43,29.3,0,0,0,0,,68.2,43,1,67.3,0,
2018-11-12,07:55:00,heat,heatOff,,Home,74,68,67.7,44,29.3,0,0,0,0,,68.2,44,1,67.2,0,
2018-11-12,08:00:00,heat,heatOff,,Home,74,68,67.7,44,30.9,0,0,0,0,,68.3,44,1,67.1,0,
2018-11-12,08:05:00,heat,heatOff,,Home,74,68,67.7,44,30.9,0,0,0,0,,68.3,44,1,67,0,
2018-11-12,08:10:00,heat,heatOff,,Home,74,68,67.7,44,30.9,0,0,0,0,,68.4,44,1,66.9,0,
2018-11-12,08:15:00,heat,heatOff,,Home,74,68,67.9,43,30.9,0,0,0,0,,68.5,43,1,66.9,0,
2018-11-12,08:20:00,heat,heatOff,,Home,74,68,68,43,30.9,0,0,0,0,,68.5,43,1,66.7,0,
2018-11-12,08:25:00,heat,heatOff,,Home,74,68,68,43,30.9,0,0,0,0,,68.4,43,0,66.5,0,
2018-11-12,08:30:00,heat,heatOff,,Home,74,68,68.1,43,32.8,0,0,0,0,,68.2,43,0,66.5,0,
2018-11-12,08:35:00,heat,heatOff,,Home,74,68,68.1,44,32.8,0,0,0,0,,68.1,44,0,66.5,0,
2018-11-12,08:40:00,heat,heatOff,,Home,74,68,68.1,44,32.8,0,0,0,0,,68.1,44,0,66.3,0,
2018-11-12,08:45:00,heat,heatOff,,Home,74,68,68,44,32.8,0,0,0,0,,68,44,0,66.3,0,
2018-11-12,08:50:00,heat,heatOff,,Home,74,68,67.8,44,32.8,0,0,0,0,,67.9,44,0,66.2,0,
2018-11-12,08:55:00,heat,heatOff,,Home,74,68,67.6,44,32.8,0,0,60,60,,67.9,44,0,66.2,0,
2018-11-12,09:00:00,heat,heatStage1On,,Home,74,68,67.3,43,33.4,0,0,300,300,,67.7,43,1,66.2,0,
2018-11-12,09:05:00,heat,heatStage1On,,Home,74,68,66.9,44,33.4,0,0,300,300,,67,44,0,67.1,0,
2018-11-12,09:10:00,heat,heatStage1On,,Home,74,68,67,45,33.4,0,0,300,300,,66.9,45,0,69.1,0,
2018-11-12,09:15:00,heat,heatStage1On,,Home,74,68,67.2,45,33.4,0,0,255,300,,67.2,45,1,70.8,0,
2018-11-12,09:20:00,heat,heatOff,,Home,74,68,67.5,45,33.4,0,0,0,0,,67.5,45,1,72.2,0,
2018-11-12,09:25:00,heat,heatOff,,Home,74,68,67.7,45,33.4,0,0,0,0,,67.7,45,1,72.1,0,
2018-11-12,09:30:00,heat,heatOff,,Home,74,68,68.1,45,34.4,0,0,0,0,,68.1,45,0,71.1,0,
2018-11-12,09:35:00,heat,heatOff,,Home,74,68,68.4,45,34.4,0,0,0,0,,68.4,45,1,70.1,0,
2018-11-12,09:40:00,heat,heatOff,,Home,74,68,68.7,45,34.4,0,0,0,0,,68.7,45,0,69.4,0,
2018-11-12,09:45:00,heat,heatOff,,Home,74,68,69,45,34.4,0,0,0,0,,69,45,1,69,0,
2018-11-12,09:50:00,heat,heatOff,,Home,74,68,69.2,45,34.4,0,0,0,0,,69.2,45,0,68.7,0,
2018-11-12,09:55:00,heat,heatOff,,Home,74,68,69.5,46,34.4,0,0,0,0,,69.5,46,0,68.3,0,
2018-11-12,10:00:00,heat,heatOff,,Home,74,68,69.8,48,35.7,0,0,0,0,,69.8,48,0,68.3,0,
2018-11-12,10:05:00,heat,heatOff,,Home,74,68,70,49,35.7,0,0,0,0,,70,49,1,68.1,0,
2018-11-12,10:10:00,heat,heatOff,,Home,74,68,70.2,49,35.7,0,0,0,0,,70.2,49,1,68,0,
2018-11-12,10:15:00,heat,heatOff,,Home,74,68,70.3,48,35.7,0,0,0,0,,70.3,48,0,68,0,
2018-11-12,10:20:00,heat,heatOff,,Home,74,68,70.4,49,35.7,0,0,0,0,,70.4,49,1,68,0,
2018-11-12,10:25:00,heat,heatOff,,Home,74,68,70.4,50,35.7,0,0,0,0,,70.4,50,1,67.8,0,
2018-11-12,10:30:00,heat,heatOff,,Home,74,68,70.5,49,36.7,0,0,0,0,,70.5,49,0,67.8,0,
2018-11-12,10:35:00,heat,heatOff,,Home,74,68,70.6,50,36.7,0,0,0,0,,70.6,50,1,67.7,0,
2018-11-12,10:40:00,heat,heatOff,,Home,74,68,70.6,51,36.7,0,0,0,0,,70.6,51,1,67.6,0,
2018-11-12,10:45:00,heat,heatOff,,Home,74,68,70.5,51,36.7,0,0,0,0,,70.6,51,1,67.6,1,
2018-11-12,10:50:00,heat,heatOff,,Home,74,68,70.1,51,36.7,0,0,0,0,,70.6,51,1,67.8,1,
2018-11-12,10:55:00,heat,heatOff,,Home,74,68,69.8,51,36.7,0,0,0,0,,70.6,51,0,67.6,0,
2018-11-12,11:00:00,heat,heatOff,,Home,74,68,69.4,52,37.9,0,0,0,0,,70.7,52,0,67.2,1,
2018-11-12,11:05:00,heat,heatOff,,Home,74,68,69.1,52,37.9,0,0,0,0,,70.7,52,0,66.9,1,
2018-11-12,11:10:00,heat,heatOff,,Home,74,68,68.8,50,37.9,0,0,0,0,,70.8,50,0,66.6,1,
2018-11-12,11:15:00,heat,heatOff,,Home,74,68,68.6,50,37.9,0,0,0,0,,70.8,50,0,66.5,1,
2018-11-12,11:20:00,heat,heatOff,,Home,74,68,68.4,49,37.9,0,0,0,0,,70.7,49,0,66.3,1,
2018-11-12,11:25:00,heat,heatOff,,Home,74,68,68.1,49,37.9,0,0,0,0,,70.6,49,0,66.2,1,
